Month	MW
201201	57855
201202	60005
201203	56054
201204	51081
201205	49547
201206	51798
201207	54357
201208	55809
201209	50846
201210	50117
201211	55187
201212	61229
201301	61777
201302	58407
201303	55456
201304	53298
201305	51321
201306	52801
201307	56029
201308	56378
201309	50348
201310	52145
201311	55947
201312	59971
201401	60350
201402	59680
201403	56481
201404	53350
201405	52013
201406	53318
201407	57199
201408	54674
201409	51955
201410	52438
201411	55708
201412	63031
201501	62281
201502	58523
201503	58436
201504	54641
201505	51900
201506	54640
201507	56357
201508	57383
201509	53648
201510	53462
201511	55385
201512	60440
201601	63248
201602	60422
201603	58308
201604	53879
201605	53016
201606	55644
201607	58909
201608	62612
201609	54592
201610	53904
201611	58414
201612	62426
